da
prva
jedina
ijudi
k
smešno
volela
nista
ostavio
drugu
ostalo
uredu
cemo
idite
slušajte
dolazim
sveta
jack
brže
napraviti
važi
isti
mozes
drugom
doktore
zbogom
noge
doktor
izlazi
dobre
tvojim
svakom
nitko
traži
razloga
pitanju
đavola
stavi
uzeti
želimo
red
druga
vec
prokletstvo
dobri
porodica
poslu
muž
zaboravio
svakako
postoje
oboje
dupe
devojku
morati
uradimo
čeka
našu
razgovarati
zemlje
tražio
bok
iako
niti
kuda
kim
pokušao
grada
odgovor
lijepo
školu
biću
njegovu
mrtva
brata
zoveš
sranja
živ
ka
kralj
sobom
pas
gdine
odlazi
pustite
velike
priču
idu
mjesto
mojih
čuli
našeg
dolaze
posebno
misle
shvatio
glavni
počeo
jebote
gledam
sledeći
miliona
poziv
poslao
pravila
meseci
kojoj
celu
sedam
kasno
trebaš
mr
hoćemo
kunem
nosi
time
usta
ovuda
ode
postao
tipa
toj
t
bolji
obično
strašno
uradili
htio
tvojoj
spremna
jedva
čekajte
znali
piše
nekad
nećete
živim
znaci
tvoji
stigao
pare
vesti
nova
sačekaj
poznajem
majku
potreban
vraćam
večeru
odemo
okej
godinu
zemlja
vodu
policiju
društvo
loš
stara
koristi
bogu
zanima
soba
ulazi
ustvari
svuda
konačno
moze
moraju
kaži
neverovatno
stan
želela
savršeno
spusti
kakvo
trebaju
gledaš
potrebna
strani
onih
nekada
necu
you
okolo
natrag
sreće
porodicu
pismo
um
samnom
veliku
godinama
vašeg
prošle
jesmo
kurac
roditelji
prošlo
zabavno
dece
sigurni
dobili
kladim
vrsta
džek
vole
veruješ
zauvek
jutros
hranu
krvi
među
barem
meseca
knjigu
učini
zovi
kojeg
sasvim
pričao
nemoguće
zatvor
bas
upoznao
božić
obećavam
školi
glas
zelim
veruj
kuci
kriv
ujutro
deda
znak
ubije
nađem
beži
nekom
dom
inače
glave
slike
nove
veliko
mislis
greška
dam
priče
sem
dala
otišli
tiče
razgovaram
new
radili
d
druže
pronaći
mrtvi
umesto
rukama
zao
očigledno
shvatam
šteta
minut
poklon
dobila
drugačije
kapetan
napad
jedne
gospođice
umreti
dođite
policajac
kreni
kojim
često
kojima
pokušaj
pogrešno
avion
priliku
bitno
onoga
hocu
iznad
tokom
trenutno
vratimo
drugim
hey
šefe
nemate
ideju
osećaš
budite
psa
hoces
stranu
mesec
osam
jaja
dobijem
čekam
iskreno
m
jeli
sekundi
zatvoru
sav
završio
lično
takve
smeta
morala
ej
zovu
umrla
vide
opusti
pokaži
prokleti
mislili
idete
ostaviti
uđi
ser
razgovaramo
umukni
novu
govorio
pivo
john
onu
rođendan
njena
lep
dine
imena
uspeo
javi
knjige
osećaj
izgubili
gledao
mozak
čast
jebena
tv
rad
glavi
desi
uslugu
vratite
smisla
pogled
gubi
dvije
počinje
radila
dvojica
ključ
luda
novo
eno
daje
gđo
juče
gosp
glupo
pričaj
imas
gospodaru
stigli
ubistvo
točno
drugih
nedelju
naši
ubili
skloni
kog
malu
muškarac
trebamo
nemaju
jebem
ubica
svake
prekini
leđa
hladno
kupio
sir
budete
baci
b
nađemo
hteli
knjiga
slika
takva
dolje
njegovog
gđice
ujutru
voda
kafu
zadovoljstvo
šef
zadnji
pažnju
stanite
ces
sliku
tvojih
išao
ben
ostavite
izbora
glava
apsolutno
svaka
pričamo
dio
dijete
sistem
tražiš
primer
igru
dodji
seks
ludo
zakon
vratiš
ulici
srca
frank
svoja
izbor
radije
nedostaje
pomislio
upoznali
naših
vjerujem
poslednje
gotov
njihove
prati
prijatelje
male
nogu
karte
našim
putem
recimo
mamu
odvesti
završi
momka
kolima
čestitam
gospode
dovraga
našla
škole
vozi
najviše
moć
izvoli
nestao
sledeće
verovati
nikome
porodice
najbolja
svojih
razgovor
probleme
naučio
definitivno
nad
svaku
frenk
postaje
majke
covek
izaći
and
zvala
sretan
donesi
dopada
svojom
užasno
čuvaj
onim
boze
pun
prave
probaj
pomogne
loša
covece
gleda
sunce
majko
pitaj
duh
ostale
hmm
njihov
de
zabavu
konja
šansu
rata
govore
obzira
slobodan
živiš
njegovom
svemu
tela
cak
beba
pričati
j
trenutku
stavio
odjednom
al
onako
fino
prozor
žive
budućnost
cekaj
duboko
našem
dogovor
para
muža
pustiti
mir
čuti
ostane
radis
vašem
pao
spava
stvarima
napisao
ubijem
divan
držite
izvolite
pokušava
mlada
zatim
postati
poslije
jezik
stalo
charlie
suviše
hrane
gluposti
pomozite
probudi
srećno
cemu
ostao
bićeš
ionako
joe
sedite
doneo
stoji
stanju
ručak
morali
dođeš
glup
nekih
sobe
pažljivo
pada
račun
uzmem
desiti
bol
desno
razumijem
ii
krevetu
daću
ostatak
umre
dečak
upomoć
bravo
igraš
pametan
prošli
došlo
slobodno
želio
dogoditi
ubij
uzmite
ostavila
dobru
nedelja
gledati
budala
c
la
poznaješ
kazem
ista
odatle
mirno
pronašao
šališ
dođem
opasno
mozemo
dokaz
kul
dobrodošli
pitati
vau
zvati
večeri
većina
vratila
njene
zaustavi
ostanem
skroz
pozvao
niz
nastavite
ukrao
srećna
ženi
nikakve
napravi
ući
ubijen
pitaš
vjerovati
potrebe
lakše
odlazim
mike
pokret
pokazati
pokažem
čudo
završiti
jebeš
čarli
vidjela
izvinjavam
brinem
izgledam
idiot
gledajte
zaboga
ozbiljan
novog
njeno
ostanite
čime
sjajan
nalazi
lica
nos
ubiješ
počela
doveo
tišina
strah
ženom
otkud
džon
pomalo
tajna
svetlo
stići
devet
vezu
zabava
dajem
prestati
srediti
cipele
udario
očima
rekoh
mnogi
našoj
divna
poslednja
početak
pazite
išta
kakvu
moras
nigde
vazduh
yeah
osjećam
michael
pogledam
razmišljao
vodim
oduvek
mojom
cijeli
vlada
brine
kosu
muškarci
doba
vjerojatno
dozvoliti
zatvori
prevod
bre
njihova
hrana
pakao
izašao
bob
svo
ponovno
hotel
bolestan
vašim
korak
traže
gladan
dozvoli
napravila
advokat
doktora
nikako
zaboraviti
klinac
bebu
mrdaj
svu
zlato
iznenađenje
govno
george
bolnici
platiti
informacije
bolnicu
sreću
n
odlučio
slučajno
početi
prsten
okreni
sara
huh
igram
plašim
cela
zaustaviti
agent
odličan
trči
levo
krenuo
ušao
skini
igrati
nazvao
govoriti
slatko
svejedno
glupi
shvataš
ubistva
ubila
čisto
pri
ćerka
odgovara
predsednik
ukoliko
voz
okay
slično
naredniče
davno
izvući
volio
riba
slažem
nosim
uđite
duže
izgubiti
vani
čujete
glupa
prošao
rano
dama
mladi
momče
slušam
onom
dečki
ruka
snage
pripada
odmor
zadatak
metara
hiljada
doma
pali
proći
dogodi
ludi
noćas
ostaneš
generale
cao
tražimo
uglavnom
razmisli
totalno
boje
prosto
nevolji
svetla
narod
sestre
držim
mark
igre
kojem
milja
obojica
sestru
spavam
čovjeka
kamion
ulice
svidja
izgubila
govorite
stiže
doviđenja
kreten
prestanite
ples
uspeti
liči
džo
sud
napravili
malog
nosiš
prvog
obećao
meso
meri
razumeo
pomogao
uhvati
velikog
novine
šala
zlo
zaveži
svijet
kučkin
pitala
zavisi
takodje
let
blizini
tiho
mišljenje
zapamti
nikog
zaboravila
pucaj
životinje
uspeli
umoran
vredi
auta
čaj
ocu
vašoj
predivno
svijetu
opasnosti
brineš
prekasno
miči
težak
pronašli
klub
pozadi
noc
brinuti
zelis
upoznala
sredi
pozovi
trebati
razgovarao
krenemo
engleski
test
h
nož
gospodina
ustani
los
htjela
ostaje
izgledaju
razumete
njegovim
prijateljica
igramo
brak
bice
ubiću
normalno
program
nacin
kopile
jutra
taksi
uradite
usput
brinite
dozvolu
poslati
zid
mary
zivot
odjebi
najveći
muziku
zvali
pričali
zvezda
spavanje
dobiješ
obitelj
stare
umrem
misliti
zanimljivo
sreća
gotova
r
pita
otkad
velikim
kartu
izvan
rado
lik
živa
milion
uzeli
smem
lagao
učinila
hari
čekati
jest
počeli
prokleto
more
uopće
pokušavaš
kralja
general
vikend
pravim
nađi
prilika
vraća
također
signal
nazvati
madam
dušu
veceras
fbi
telefona
vratili
ničega
veza
upoznati
njegovoj
razmišljam
moga
zauzet
star
drvo
njenu
vatru
zvuk
dela
negdje
sladak
jimmy
tražite
pobegao
odgovori
pesmu
celo
ostala
udarac
napokon
če
čuj
čuje
love
uzela
devojčica
saznati
spasiti
jak
izveštaj
učinim
umire
najmanje
brodu
džordž
živeo
vojska
proveri
pukovniče
veruje
slušaš
harry
centar
in
životinja
kamo
stavite
vaši
oružja
damo
majci
njegovi
seksi
snagu
djevojka
prijateljima
p
videćemo
trenutka
jesti
škola
sjajna
rečeno
kasnim
ratu
noću
visosti
naučiti
sumnjam
drugoj
iskren
daš
nestala
platio
grupa
živeti
volimo
kučko
sjećaš
ugovor
iste
uhvatio
nastaviti
prokleta
hm
samog
ceš
vozim
vino
živeli
lovu
kraljica
udari
veći
pomogneš
zamisli
živimo
dug
vidis
stanje
pomaže
jede
poruka
savet
valja
drugar
paul
jake
njenog
spavao
pokušati
doručak
završim
spavaš
vidjeli
kontrolu
nekome
držati
vraga
vratiću
kupiti
razgovarali
odvratno
početka
izlaz
pijan
riječ
sinko
fer
iko
tatu
dobije
dolaziš
trebaće
mada
nazovi
gospođa
strana
cuo
računa
ortak
šou
zadnje
sudbina
postala
hoceš
majk
loptu
pamet
nađeš
droge
šansa
muškarca
jednim
sme
želeli
david
ljut
borbu
uzmeš
postane
stigla
nek
kom
odavno
kamen
troje
idiote
cilj
gospodar
začepi
poslali
popodne
dozvolite
ribe
plašiš
obe
tražili
